,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Quantity in L,state of Sold-To Party
50844,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-07,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50874,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-06,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50884,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-05,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50895,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-04,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50916,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-03,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50935,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2016-01,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50958,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2015-12,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50972,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2015-11,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50987,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2015-10,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50993,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2015-09,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
50999,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2015-08,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
51023,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2015-07,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
51038,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2015-05,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
51077,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2015-01,37.0,TO,N118,40879,Alice Springs DAF Plant,27611.940298507463,nt
51093,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2015-01,25.0,TO,N118,40879,Alice Springs DAF Plant,18656.716417910447,nt
51104,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2014-12,25.0,TO,N118,40879,Alice Springs DAF Plant,18656.716417910447,nt
51117,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2014-10,25.0,TO,N118,40879,Alice Springs DAF Plant,18656.716417910447,nt
51129,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2014-10,25.0,TO,N118,40879,Alice Springs DAF Plant,18656.716417910447,nt
51170,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2014-06,25.0,TO,N118,40879,Alice Springs DAF Plant,18656.716417910447,nt
51183,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2014-05,25.0,TO,N118,40879,Alice Springs DAF Plant,18656.716417910447,nt
51199,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2014-03,25.0,TO,N118,40879,Alice Springs DAF Plant,18656.716417910447,nt
51241,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2013-12,25.0,TO,N118,40879,Alice Springs DAF Plant,18656.716417910447,nt
51250,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2013-11,25.0,TO,N118,40879,Alice Springs DAF Plant,18656.716417910447,nt
51267,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2013-11,25.0,TO,N118,40879,Alice Springs DAF Plant,18656.716417910447,nt
51277,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2013-10,25.0,TO,N118,40879,Alice Springs DAF Plant,18656.716417910447,nt
51284,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2013-09,25.0,TO,N118,40879,Alice Springs DAF Plant,18656.716417910447,nt
51299,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2013-08,25.0,TO,N118,40879,Alice Springs DAF Plant,18656.716417910447,nt
51343,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2013-03,25.0,TO,N118,40879,Alice Springs DAF Plant,18656.716417910447,nt
51375,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2013-01,25.0,TO,N118,28336,PWC - Sadadeen Valley,18656.716417910447,nt
51415,9537,Power & Water Corporation,PAC23-B,PAC 23 SOLUTION BULK,2012-11,25.0,TO,N118,28336,PWC - Sadadeen Valley,18656.716417910447,nt
69861,3972,Shamrock Chemicals (N.T.) Pty. Ltd.,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2019-11,1.0,DRM,D106,61539,Shamrock Chemicals (NT),200.0,nt
69862,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2019-04,4.0,DRM,D106,62286,Daly River (Nauiyu) - Nighthawk Tra,800.0,nt
69863,3972,Shamrock Chemicals (N.T.) Pty. Ltd.,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2019-04,1.0,DRM,D106,61539,Shamrock Chemicals (NT),200.0,nt
69864,3972,Shamrock Chemicals (N.T.) Pty. Ltd.,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2019-01,1.0,DRM,D106,61539,Shamrock Chemicals (NT),200.0,nt
69865,19366,Figleaf Pty Ltd t/as,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-11,4.0,DRM,D106,19366,Figleaf Pty Ltd t/as,800.0,nt
69866,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-08,8.0,DRM,D106,59504,Numbulwar - via Nighthawk,1600.0,nt
69867,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-08,4.0,DRM,D106,61229,Ramingining Powerhouse - Seaswift,800.0,nt
69868,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-08,4.0,DRM,D106,61234,Milingimbi Powerhouse via Seaswift,800.0,nt
69869,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-08,4.0,DRM,D106,54391,Elcho Island( Galwinku)- SeaSwift,800.0,nt
69870,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-08,4.0,DRM,D106,58657,Colair Manfield Yirrkala- Seaswift,800.0,nt
69871,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-08,8.0,DRM,D106,54391,Elcho Island( Galwinku)- SeaSwift,1600.0,nt
69872,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-07,4.0,DRM,D106,54276,Ngukurr - Nighthawk Couriers,800.0,nt
69873,3972,Shamrock Chemicals (N.T.) Pty. Ltd.,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-07,3.0,DRM,D106,61539,Shamrock Chemicals (NT),600.0,nt
69874,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-07,4.0,DRM,D106,61234,Milingimbi Powerhouse via Seaswift,800.0,nt
69875,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-07,4.0,DRM,D106,61229,Ramingining Powerhouse - Seaswift,800.0,nt
69876,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-07,12.0,DRM,D106,61459,Peppimenarti via DJ Air,2400.0,nt
69877,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-07,4.0,DRM,D106,54408,Belyuen - A.J Couriers,800.0,nt
69878,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-07,12.0,DRM,D106,59504,Numbulwar - via Nighthawk,2400.0,nt
69879,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-07,24.0,DRM,D106,19809,PWC - Katherine,4800.0,nt
69880,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-07,4.0,DRM,D106,58657,Colair Manfield Yirrkala- Seaswift,800.0,nt
69882,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-07,16.0,DRM,D106,54552,Palumpa ( Nganmaryanga ) via DJ Air,3200.0,nt
69883,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-07,8.0,DRM,D106,62286,Daly River (Nauiyu) - Nighthawk Tra,1600.0,nt
69884,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-06,4.0,DRM,D106,61238,Warruwi Goulburn Island via Seaswif,800.0,nt
69885,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-06,4.0,DRM,D106,58765,Lake Evella - SeaSwift,800.0,nt
69886,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-06,4.0,DRM,D106,63293,Wudapuli / Nama via DJ Air,800.0,nt
69888,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-06,8.0,DRM,D106,54391,Elcho Island( Galwinku)- SeaSwift,1600.0,nt
69889,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-06,16.0,DRM,D106,19809,PWC - Katherine,3200.0,nt
69890,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-06,12.0,DRM,D106,59504,Numbulwar - via Nighthawk,2400.0,nt
69891,3972,Shamrock Chemicals (N.T.) Pty. Ltd.,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-06,2.0,DRM,D106,61539,Shamrock Chemicals (NT),400.0,nt
69892,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-05,4.0,DRM,D106,58657,Colair Manfield Yirrkala- Seaswift,800.0,nt
69893,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-05,4.0,DRM,D106,58658,Ski Beach ( Marngarr) via Seaswift,800.0,nt
69894,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-05,8.0,DRM,D106,54391,Elcho Island( Galwinku)- SeaSwift,1600.0,nt
69895,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-05,4.0,DRM,D106,57820,Umbakumba - SeaSwift,800.0,nt
69896,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-05,8.0,DRM,D106,54275,Minyerri - Nighthawk Couriers,1600.0,nt
69897,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-05,16.0,DRM,D106,19809,PWC - Katherine,3200.0,nt
69898,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-04,4.0,DRM,D106,54392,Garden Point (Pirlangimpi )- Sea Sw,800.0,nt
69899,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-04,16.0,DRM,D106,57099,Numbulwar  - SeaSwift,3200.0,nt
69900,3972,Shamrock Chemicals (N.T.) Pty. Ltd.,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-04,4.0,DRM,D106,61539,Shamrock Chemicals (NT),800.0,nt
69901,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-04,4.0,DRM,D106,61238,Warruwi Goulburn Island via Seaswif,800.0,nt
69902,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-04,4.0,DRM,D106,61234,Milingimbi Powerhouse via Seaswift,800.0,nt
69903,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-04,4.0,DRM,D106,61229,Ramingining Powerhouse - Seaswift,800.0,nt
69904,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-04,8.0,DRM,D106,58657,Colair Manfield Yirrkala- Seaswift,1600.0,nt
69905,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-04,4.0,DRM,D106,57099,Numbulwar  - SeaSwift,800.0,nt
69906,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-04,4.0,DRM,D106,19809,PWC - Katherine,800.0,nt
69907,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-04,12.0,DRM,D106,19809,PWC - Katherine,2400.0,nt
69908,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-03,4.0,DRM,D106,57234,PWC - Ben Hammond Complex,800.0,nt
69910,3972,Shamrock Chemicals (N.T.) Pty. Ltd.,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-03,1.0,DRM,D106,61539,Shamrock Chemicals (NT),200.0,nt
69911,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-03,4.0,DRM,D106,57820,Umbakumba - SeaSwift,800.0,nt
69912,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-03,12.0,DRM,D106,54704,Palumpa - Northline QAL,2400.0,nt
69913,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-03,4.0,DRM,D106,54276,Ngukurr - Nighthawk Couriers,800.0,nt
69914,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-03,16.0,DRM,D106,19809,PWC - Katherine,3200.0,nt
69915,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-03,12.0,DRM,D106,54391,Elcho Island( Galwinku)- SeaSwift,2400.0,nt
69916,61695,HD Enterprises Pty Ltd,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-03,5.0,DRM,D106,62935,HD Pumps,1000.0,nt
69917,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-03,4.0,DRM,D106,60214,Wadeye - Northline,800.0,nt
69918,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-02,4.0,DRM,D106,58658,Ski Beach ( Marngarr) via Seaswift,800.0,nt
69919,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-02,4.0,DRM,D106,58658,Ski Beach ( Marngarr) via Seaswift,800.0,nt
69920,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-01,12.0,DRM,D106,57099,Numbulwar  - SeaSwift,2400.0,nt
69921,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-01,4.0,DRM,D106,57820,Umbakumba - SeaSwift,800.0,nt
69922,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-01,4.0,DRM,D106,57238,Bickerton Island/Milyakburra- SeaSw,800.0,nt
69923,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-01,8.0,DRM,D106,61229,Ramingining Powerhouse - Seaswift,1600.0,nt
69924,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-01,12.0,DRM,D106,59504,Numbulwar - via Nighthawk,2400.0,nt
69925,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-01,4.0,DRM,D106,54408,Belyuen - A.J Couriers,800.0,nt
69926,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-01,12.0,DRM,D106,54391,Elcho Island( Galwinku)- SeaSwift,2400.0,nt
69927,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-01,12.0,DRM,D106,59504,Numbulwar - via Nighthawk,2400.0,nt
69928,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-01,8.0,DRM,D106,62286,Daly River (Nauiyu) - Nighthawk Tra,1600.0,nt
69929,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2018-01,2.0,DRM,D106,59633,Wadeye - Murin Tsp,400.0,nt
69930,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-12,12.0,DRM,D106,59504,Numbulwar - via Nighthawk,2400.0,nt
69931,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-12,16.0,DRM,D106,19809,PWC - Katherine,3200.0,nt
69932,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-12,4.0,DRM,D106,61229,Ramingining Powerhouse - Seaswift,800.0,nt
69933,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-12,4.0,DRM,D106,61238,Warruwi Goulburn Island via Seaswif,800.0,nt
69934,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-12,4.0,DRM,D106,61229,Ramingining Powerhouse - Seaswift,800.0,nt
69935,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-12,4.0,DRM,D106,58657,Colair Manfield Yirrkala- Seaswift,800.0,nt
69936,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-12,12.0,DRM,D106,54552,Palumpa ( Nganmaryanga ) via DJ Air,2400.0,nt
69937,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-12,16.0,DRM,D106,19809,PWC - Katherine,3200.0,nt
69938,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-12,4.0,DRM,D106,61459,Peppimenarti via DJ Air,800.0,nt
69939,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-11,4.0,DRM,D106,61238,Warruwi Goulburn Island via Seaswif,800.0,nt
69940,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-11,4.0,DRM,D106,58765,Lake Evella - SeaSwift,800.0,nt
69941,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-11,4.0,DRM,D106,61234,Milingimbi Powerhouse via Seaswift,800.0,nt
69942,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-11,4.0,DRM,D106,58657,Colair Manfield Yirrkala- Seaswift,800.0,nt
69943,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-11,4.0,DRM,D106,61229,Ramingining Powerhouse - Seaswift,800.0,nt
69944,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-11,2.0,DRM,D106,39624,Katherine WTP,400.0,nt
69945,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-11,4.0,DRM,D106,57820,Umbakumba - SeaSwift,800.0,nt
69946,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-11,8.0,DRM,D106,59504,Numbulwar - via Nighthawk,1600.0,nt
69947,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-11,8.0,DRM,D106,54391,Elcho Island( Galwinku)- SeaSwift,1600.0,nt
69948,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-11,4.0,DRM,D106,54275,Minyerri - Nighthawk Couriers,800.0,nt
69949,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-11,4.0,DRM,D106,58657,Colair Manfield Yirrkala- Seaswift,800.0,nt
69950,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-11,16.0,DRM,D106,19809,PWC - Katherine,3200.0,nt
69951,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-10,12.0,DRM,D106,59504,Numbulwar - via Nighthawk,2400.0,nt
69952,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-10,4.0,DRM,D106,57820,Umbakumba - SeaSwift,800.0,nt
69953,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-10,16.0,DRM,D106,19809,PWC - Katherine,3200.0,nt
69954,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-10,12.0,DRM,D106,54391,Elcho Island( Galwinku)- SeaSwift,2400.0,nt
69955,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-09,8.0,DRM,D106,54553,Peppimenarti - Murin Trans,1600.0,nt
69956,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-09,12.0,DRM,D106,61459,Peppimenarti via DJ Air,2400.0,nt
69957,9537,Power & Water Corporation,SODHYP12.5-200,SODIUM HYPOCHLORITE 12.5% (200 Lt Drum),2017-09,4.0,DRM,D106,61238,Warruwi Goulburn Island via Seaswif,800.0,nt
