,Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Quantity in L,state of Sold-To Party
216,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-02,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
218,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-01,1.0,BOX,T101,50947,Harvest Moon,1000.0,tas
222,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-01,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
227,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2019-01,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
232,55690,Tasmania Mines Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-12,1.31,TO,T101,55690,Tasmania Mines Limited,1000.0,tas
233,55690,Tasmania Mines Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-12,1.31,TO,T101,55690,Tasmania Mines Limited,1000.0,tas
246,55690,Tasmania Mines Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-09,1.31,TO,T101,55690,Tasmania Mines Limited,1000.0,tas
268,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-06,5.18,TO,T101,51530,Dover Factory Store,3954.1984732824426,tas
269,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-06,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
272,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-06,1.0,BOX,T101,50947,Harvest Moon,1000.0,tas
274,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-06,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
277,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-05,1.0,BOX,T101,50947,Harvest Moon,1000.0,tas
278,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-05,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
283,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-05,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
288,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-04,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
293,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-04,2.0,BOX,T101,50947,Harvest Moon,2000.0,tas
294,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-04,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
299,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-03,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
301,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-03,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
303,38444,Parks & Wildlife Service,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-03,2.0,BOX,T101,38444,Parks & Wildlife Service,2000.0,tas
306,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-03,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
309,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-02,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
311,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-02,1.0,BOX,T101,57114,Bracknell WTP,1000.0,tas
313,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-02,1.3,TO,T101,59531,Ouse Water Treatment Plant,992.3664122137404,tas
315,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-02,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
320,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-01,4.0,TO,T101,51530,Dover Factory Store,3053.4351145038167,tas
321,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-12,1.295,TO,T101,59531,Ouse Water Treatment Plant,988.5496183206106,tas
332,38444,Parks & Wildlife Service,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-11,2.0,BOX,T101,38444,Parks & Wildlife Service,2000.0,tas
334,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-10,1.295,TO,T101,59531,Ouse Water Treatment Plant,988.5496183206106,tas
335,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-10,1.295,TO,T101,57114,Bracknell WTP,988.5496183206106,tas
336,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-10,4.0,TO,T101,51530,Dover Factory Store,3053.4351145038167,tas
337,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-10,4.0,TO,T101,51530,Dover Factory Store,3053.4351145038167,tas
338,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-10,4.0,TO,T101,51530,Dover Factory Store,3053.4351145038167,tas
348,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-09,1.295,TO,T101,59531,Ouse Water Treatment Plant,988.5496183206106,tas
355,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-07,5.0,BOX,T101,51530,Dover Factory Store,5000.0,tas
356,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-07,1.0,BOX,T101,50947,Harvest Moon,1000.0,tas
360,62081,M.G. Roberts Plumbing Pty. Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-06,2.0,TO,T101,62081,M.G. Roberts Plumbing Pty. Limited,1526.7175572519084,tas
361,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-06,1.295,TO,T101,59531,Ouse Water Treatment Plant,988.5496183206106,tas
372,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-05,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
374,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-05,1.0,BOX,T101,50947,Harvest Moon,1000.0,tas
376,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-05,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
377,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-05,1.295,TO,T101,57114,Bracknell WTP,988.5496183206106,tas
379,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-05,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
380,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-04,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
384,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-04,1.295,TO,T101,59531,Ouse Water Treatment Plant,988.5496183206106,tas
385,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-04,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
386,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-03,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
388,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-03,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
390,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-03,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
393,38444,Parks & Wildlife Service,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-02,2.0,BOX,T101,38444,Parks & Wildlife Service,2000.0,tas
394,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-02,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
395,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-02,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
399,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-02,1.295,TO,T101,59531,Ouse Water Treatment Plant,988.5496183206106,tas
407,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-12,1.295,TO,T101,57114,Bracknell WTP,988.5496183206106,tas
410,38444,Parks & Wildlife Service,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-12,2.0,BOX,T101,38444,Parks & Wildlife Service,2000.0,tas
412,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-12,3.0,BOX,T101,51530,Dover Factory Store,3000.0,tas
416,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-11,1.295,TO,T101,59531,Ouse Water Treatment Plant,988.5496183206106,tas
420,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-11,1.0,BOX,T101,51530,Dover Factory Store,1000.0,tas
426,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-10,5.0,BOX,T101,51530,Dover Factory Store,5000.0,tas
430,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-09,1.295,TO,T101,61102,TasWater - Colbrook Ponds,988.5496183206106,tas
431,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-09,1.295,TO,T101,61102,TasWater - Colbrook Ponds,988.5496183206106,tas
432,8102,Tas-Isle Trading Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-09,1.295,TO,T101,55335,Suncoast Express,988.5496183206106,tas
433,8102,Tas-Isle Trading Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-09,1.295,TO,T101,55335,Suncoast Express,988.5496183206106,tas
438,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-08,1.295,TO,T101,59531,Ouse Water Treatment Plant,988.5496183206106,tas
460,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-05,1.295,TO,T101,57114,Bracknell WTP,988.5496183206106,tas
467,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-05,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
468,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-05,5.0,BOX,T101,51530,Dover Factory Store,5000.0,tas
470,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-05,1.295,TO,T101,59531,Ouse Water Treatment Plant,988.5496183206106,tas
475,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-04,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
480,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-04,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
483,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-03,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
484,38444,Parks & Wildlife Service,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-03,2.0,BOX,T101,38444,Parks & Wildlife Service,2000.0,tas
486,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-03,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
487,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-03,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
493,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-03,5.0,BOX,T101,51530,Dover Factory Store,5000.0,tas
496,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-02,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
497,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-02,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
498,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-02,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
499,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-02,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
505,8102,Tas-Isle Trading Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-02,1.0,BOX,T101,8102,Tas-Isle Trading Pty Ltd,1000.0,tas
511,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-02,1.0,BOX,T101,50947,Harvest Moon,1000.0,tas
512,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-02,1.0,BOX,T101,50947,Harvest Moon,1000.0,tas
514,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-01,1.295,TO,T101,57114,Bracknell WTP,988.5496183206106,tas
523,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-01,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
524,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2016-01,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
530,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-12,1.295,TO,T101,59531,Ouse Water Treatment Plant,988.5496183206106,tas
531,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-12,2.59,TO,T101,51530,Dover Factory Store,1977.0992366412213,tas
534,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-12,1.295,TO,T101,50947,Harvest Moon,988.5496183206106,tas
535,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-12,1.295,TO,T101,50947,Harvest Moon,988.5496183206106,tas
536,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-12,1.295,TO,T101,57114,Bracknell WTP,988.5496183206106,tas
553,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-11,3.885,TO,T101,51530,Dover Factory Store,2965.648854961832,tas
557,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-11,1.295,TO,T101,57114,Bracknell WTP,988.5496183206106,tas
559,38444,Parks & Wildlife Service,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-10,2.59,TO,T101,38444,Parks & Wildlife Service,1977.0992366412213,tas
576,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-09,5.0,BOX,T101,51530,Dover Factory Store,5000.0,tas
578,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-08,1.295,TO,T101,59531,Ouse Water Treatment Plant,988.5496183206106,tas
615,8102,Tas-Isle Trading Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-06,1.0,BOX,T101,8102,Tas-Isle Trading Pty Ltd,1000.0,tas
639,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-05,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
656,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-04,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
660,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-04,1.295,TO,T101,50947,Harvest Moon,988.5496183206106,tas
661,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-04,1.295,TO,T101,50947,Harvest Moon,988.5496183206106,tas
670,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-04,1.295,TO,T101,57114,Bracknell WTP,988.5496183206106,tas
671,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-03,1.295,TO,T101,50947,Harvest Moon,988.5496183206106,tas
672,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-03,1.295,TO,T101,50947,Harvest Moon,988.5496183206106,tas
683,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-03,1.295,TO,T101,50947,Harvest Moon,988.5496183206106,tas
684,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-03,1.295,TO,T101,50947,Harvest Moon,988.5496183206106,tas
702,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-02,1.295,TO,T101,57014,Fingal WTP,988.5496183206106,tas
704,38444,Parks & Wildlife Service,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-02,2.62,TO,T101,38444,Parks & Wildlife Service,2000.0,tas
723,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-01,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
731,58171,Sumich,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-01,1.295,TO,T101,58171,Sumich,988.5496183206106,tas
737,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-01,1.295,TO,T101,57114,Bracknell WTP,988.5496183206106,tas
738,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2015-01,1.295,TO,T101,57114,Bracknell WTP,988.5496183206106,tas
810,38403,Echo Projects Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-08,1.295,TO,T101,57547,Port Latta Landfill,988.5496183206106,tas
870,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-06,1.295,TO,T101,57114,Bracknell WTP,988.5496183206106,tas
871,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-06,1.295,TO,T101,57114,Bracknell WTP,988.5496183206106,tas
878,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-05,1.295,TO,T101,57014,Fingal WTP,988.5496183206106,tas
880,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-05,1.295,TO,T101,57014,Fingal WTP,988.5496183206106,tas
881,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-05,1.295,TO,T101,57014,Fingal WTP,988.5496183206106,tas
901,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-04,3.885,TO,T101,51530,Dover Factory Store,2965.648854961832,tas
907,38444,Parks & Wildlife Service,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-04,2.59,TO,T101,38444,Parks & Wildlife Service,1977.0992366412213,tas
908,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-04,1.295,TO,T101,51530,Dover Factory Store,988.5496183206106,tas
909,38382,Tassal Operations Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-04,1.295,TO,T101,51530,Dover Factory Store,988.5496183206106,tas
915,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-03,1.295,TO,T101,50947,Harvest Moon,988.5496183206106,tas
916,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-03,1.295,TO,T101,50947,Harvest Moon,988.5496183206106,tas
997,50947,Harvest Moon,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2014-01,2.59,TO,T101,50947,Harvest Moon,1977.0992366412213,tas
1122,55472,Tas Water,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2013-08,1.295,TO,T101,38734,Bridport Water Treatment Plant,988.5496183206106,tas
