Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
53143,Yara Pilbara Fertilisers Pty Ltd,PAC23-15,PAC 23 SOLUTION - 15L,2015-08,4.0,DRM,V305,59240,Yara Pilbara Ferilisers,2015-08,800.0,53143,wa
51899,Tarong Power,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2015-09,1.0,BOX,Q336,21129,Tarong Power Station,2015-08,1000.0,51899,qld
4750,Chemform,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2015-09,6000.0,L,W205,59617,Chemform - Bulk,2015-09,6000.0,4750,wa
59631,SEAFISH TASMANIA PELAGIC PTY LTD,PAC23-15,PAC 23 SOLUTION - 15L,2015-09,5.0,DRM,V305,59644,Wettenhalls Transport,2015-09,1000.0,59631,tas
54188,Trility Australia Pty Ltd,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2015-09,1.0,BOX,V114,53176,Royal Children's Hospital (WJP),2015-09,1000.0,54188,vic
49634,SNF Australia Pty Ltd,PAC23-1330NR,PAC 23 SOLUTION - 1330KG IBC NR,2015-09,1.0,BOX,V305,49634,SNF Australia Pty Ltd,2015-09,1000.0,49634,vic
2964,Whitehorse City Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-09,2800.0,L,V116,59577,Whitehorse City Council-Forest Hill,2015-09,2800.0,2964,vic
6586,Dubbo City Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-09,12000.0,L,N106,59595,Dubbo STP,2015-09,12000.0,6586,nsw
59514,Veolia Water Operations Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-09,20000.0,L,N106,57085,Kooragang Recycled Water Scheme,2015-09,20000.0,59514,nsw
59769,Ribshire Pty Ltd T/A Goodline,PAC23-1330,PAC 23 SOLUTION - 1330KG,2015-11,5.32,TO,Q336,59819,Goodline,2015-10,3970.1492537313434,59769,qld
59890,Commercial Aquatics Australia Pty L,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2015-11,2000.0,L,T300,59905,Barossa Wellness & Community Centre,2015-11,2000.0,59890,wa
59891,Clare Car Wash Pty Ltd,PAC23-1330,PAC 23 SOLUTION - 1330KG,2016-01,1.0,BOX,S315,59891,Clare Car Wash Pty Ltd,2015-11,1000.0,59891,sa
9580,Mondelez Australia Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2015-11,23.0,TO,V114,9581,Cadbury  - Claremont,2015-11,15333.333333333332,9580,tas
60055,RTA Weipa Pty Ltd,PAC23-1330,PAC 23 SOLUTION - 1330KG,2015-12,6.0,IBC,Q336,60055,RTA Weipa Pty Ltd,2015-12,6000.0,60055,qld
1005,Ixom Operations Pty Ltd,SODHYP13-15,SODIUM HYPOCHLORITE 13%- 15L,2016-01,8.0,PLY,V305,48211,MIEX - Deer Park,2016-01,120.0,1005,vic
49745,Qld Urban Utilities,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02,1000.0,L,Q329,60163,Kalbar STP,2016-02,1000.0,49745,qld
21948,Greenham Tasmania Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-02,1.0,L,N106,21948,Greenham Tasmania Pty Ltd,2016-02,1.0,21948,tas
57717,Ventia Australia Pty Ltd - WA,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2016-02,3000.0,L,D106,42032,Robertson Army Barracks North Pool,2016-02,3000.0,57717,wa
60190,Poolwerx Ellenbrook Mobile Pool Ser,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2016-02,1500.0,L,W205,58046,RAAF Base Pearce,2016-02,1500.0,60190,wa
4097,Alexandrina Council,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2016-02,1.0,BOX,S106,60281,Mt Compass Site ( Alexandrina Counc,2016-02,1000.0,4097,sa
60209,Corporate Health Management,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-03,1000.0,L,Q329,42179,Health Stream Aquatic Centre,2016-03,1000.0,60209,vic
7027,Walgett Shire Council,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2016-03,3.0,BOX,3RDN,59417,Collarenabri WTP,2016-03,3000.0,7027,nsw
97376,Environmental Surface Solutions P/L,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2016-04,1.0,BOX,Q336,59968,RED & WHITE Group,2016-04,1000.0,97376,vic
42021,Veolia Water Operations Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-05,8000.0,L,Q329,42341,Luggage Point AWTP,2016-05,8000.0,42021,qld
60664,Crocosaurus Cove Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2016-06,2000.0,L,D106,60692,Croc Farm,2016-05,2000.0,60664,nt
60875,Dubbo Regional Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2016-08,1.5,TO,N214,56412,Geurie STP,2016-07,1145.0381679389313,60875,nsw
60844,Georges River Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-08,1500.0,L,N106,54829,Sans Souci Olympic Pool Outdoor,2016-07,1500.0,60844,nsw
7747,Houghton Australia Pty Ltd,SODHYP13-15,SODIUM HYPOCHLORITE 13%- 15L,2016-07,2.0,PLY,V305,60781,Orora Beverage Cans,2016-07,30.0,7747,vic
60905,Illawarra Coatings Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-08,1000.0,L,N106,60905,Illawarra Coatings Pty Ltd,2016-08,1000.0,60905,nsw
60948,Aquachemie Limited,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2016-08,14.0,BOX,V114,60948,Aquachemie Limited,2016-08,14000.0,,
60836,Queanbeyan - Palerang Regional Coun,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-09,2000.0,L,N106,56211,Queanbeyan Aquatic Centre,2016-08,2000.0,60836,nsw
8202,Nufarm Australia Limited,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2016-08,2.0,BOX,V218,59364,Nufarm Australia,2016-08,2000.0,8202,vic
5763,Advanced Chemicals,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2016-08,4.0,BOX,N323,5763,Advanced Chemicals,2016-08,4000.0,5763,nsw
60726,Canterbury-Bankstown Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-09,3000.0,L,N106,5864,Roselands Swim Centre,2016-08,3000.0,60726,nsw
60861,Cleveland Bay Chemical Company Pty,PAC23-1330,PAC 23 SOLUTION - 1330KG,2016-08,9.0,BOX,Q336,60952,Cleveland Bay Chemical Co.,2016-08,9000.0,60861,qld
60944,Wyong Shire Council,PAC23-1330NR,PAC 23 SOLUTION - 1330KG IBC NR,2016-08,2.66,TO,N118,59247,Buttonderry Waste Management facili,2016-08,1985.0746268656717,60944,nsw
60958,Fraser Coast Regional Council,MHL-B,Magnesium Hydroxide Liquid,,9.126,TO,Q329,58364,Beach Road ( PUMP STATION 4),2016-08,6083.999999999999,60958,qld
60845,Inner West Council - Leichhardt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-09,2000.0,L,N106,52254,Ashfield Aquatic Centre,2016-09,2000.0,60845,nsw
61063,Blacktown Venue Management Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-09,3000.0,L,N106,7140,Mt Druitt Pool,2016-09,3000.0,61063,nsw
61177,City of Canterbury Bankstown,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,,809.0,L,N106,54201,Revesby Swim Outdoor Pool,2016-09,809.0,61177,nsw
4425,Australian Mud Company Pty Ltd,SODHYP13-200,SODIUM HYPOCHLORITE 13% - 200l,2016-09,3.0,DRM,V305,61176,Drilling Contractors Australia,2016-09,600.0,4425,wa
41559,PROGRAMMED Facility Management,SODHYP13-1000BB,SODIUM HYPOCHLORITE 13% - 1000L IBC,2016-09,1.0,BOX,V218,61174,City west water,2016-09,1000.0,41559,wa
60846,Federation Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10,1500.0,L,V218,3477,Urana Swimming Pool,2016-10,1500.0,60846,nsw
61232,Clear Cover Industries Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10,7000.0,L,N106,61232,Clear Cover Industries Pty Ltd,2016-10,7000.0,61232,nsw
61199,Cumberland Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10,1500.0,L,N106,7275,Guildford Pool,2016-10,1500.0,61199,nsw
60876,Western Plains RC- Wellington,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2016-10,9.0,TO,N214,38781,Geurie WTP,2016-10,6870.229007633588,60876,nsw
61207,Sea Lyons Aquatic,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10,3000.0,L,T300,61207,Sea Lyons Aquatic,2016-10,3000.0,61207,tas
2238,Hydro-Chem Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-10,10000.0,L,V116,61179,Hydro Chem,2016-10,10000.0,2238,vic
3486,Warrnambool City Council,PAC23-15,PAC 23 SOLUTION - 15L,2016-10,4.0,PLS,V305,3487,Aquazone,2016-10,60.0,3486,vic
60932,The Olive Tree,SODHYP13-200,SODIUM HYPOCHLORITE 13% - 200l,2016-11,1.0,DRM,V305,60932,The Olive Tree,2016-11,200.0,60932,vic
52317,Wilpinjong Coal Pty Ltd,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2016-11,1.0,BOX,N222,53185,Wilpinjong Coal Mine,2016-11,1000.0,52317,qld
6803,Narrabri Shire Council,SODHYP13-200,SODIUM HYPOCHLORITE 13% - 200l,2016-12,4.0,DRM,N222,49236,Narrabri Council Depot,2016-12,800.0,6803,nsw
61315,Edward River Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2016-12,17.0,TO,V127,17721,Deniliquin WTP,2016-12,12977.099236641221,61315,nsw
46318,International Quadratics Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01,23000.0,L,N106,60297,International Quadratics Pty Ltd,2016-12,23000.0,46318,nsw
4081,Coober Pedy District Council,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2016-12,1.0,BOX,S106,56541,McArdle Freight,2016-12,1000.0,4081,sa
61467,Ezy Chlor,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,,9969.0,L,N106,56238,Ezy Chlor Pty Ltd,2016-12,9969.0,61467,nsw
61373,MURRAY RIVER COUNCIL,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2016-12,5.24,TO,V127,45924,Mathoura WTP,2016-12,4000.0,61373,nsw
5662,Dept of Agriculture and Fisheries (,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12,13500.0,L,Q329,61458,Dept of Agriculture & Fisheries,2016-12,13500.0,5662,qld
61426,Goornong Rec Reserve Committee Inco,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12,1000.0,L,V218,1940,Goornong Pool,2016-12,1000.0,61426,vic
61380,Golden Square Pool Inc A0058968G,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12,1000.0,L,V218,61400,Golden Square Pool,2016-12,1000.0,61380,vic
61488,Raywood Swimming Pool,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2016-12,1000.0,L,V218,1934,Raywood Pool,2016-12,1000.0,61488,vic
38251,Roxby Downs Cultural & Leisure,SODHYP13-15NR,SODIUM HYPOCHLORITE 13%- 15L Non Ret,2017-01,48.0,PLY,S303,41062,BSH Transport Solutions,2017-01,720.0,38251,sa
22634,Veolia Water Operations Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-01,1000.0,L,V218,29728,General Water - Specimen Hill,2017-01,1000.0,22634,vic
9265,Parexgroup Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-02,1.0,L,N106,9265,Parexgroup Pty Ltd,2017-01,1.0,9265,nsw
54092,Conquest Mining Pty Limited,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2017-03,2.0,BOX,Q336,59437,Mt Carlton Mine C\- Cube Logistics,2017-02,2000.0,54092,qld
61529,OJI Fibre Solutions (Aust) Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-02,1.31,TO,V305,61529,OJI Fibre Solutions (Aust) Pty Ltd,2017-02,1000.0,61529,vic
61599,H.W. Greenham & Sons Proprietary Li,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2017-02,22.0,TO,V127,61599,H.W. Greenham & Sons Proprietary Li,2017-02,16793.893129770993,61599,vic
60691,Lactalis Australia YD Pty Ltd,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-02,1.0,BOX,T309,61640,Parmalat - Tamar Valley,2017-02,1000.0,60691,qld
21467,Ixom Watercare Inc,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-03,1.0,BOX,V114,21467,Ixom Watercare Inc,2017-02,1000.0,,
41362,North Burnett Regional Council,PAC23-1330,PAC 23 SOLUTION - 1330KG,2017-02,1.33,TO,Q336,18697,Biggenden Depot - Edward St,2017-02,992.5373134328358,41362,qld
61695,HD Enterprises Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2017-03,1300.0,L,D106,50772,Leanyer Lake Recreation Park,2017-03,1300.0,61695,nt
61267,Inner West Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,,3000.0,L,N106,52254,Ashfield Aquatic Centre,2017-03,3000.0,61267,nsw
61684,Dyno Nobel Moranbah Pty Ltd,PAC23-B,PAC 23 SOLUTION BULK,2017-03,21.94,TO,N118,60919,Dyno Nobel,2017-03,16373.13432835821,61684,vic
8545,Fonterra Aust Pty Ltd - Stanhope*,PAC23-1330,PAC 23 SOLUTION - 1330KG,2017-03,1.0,BOX,V305,36142,Fonterra Australia Pty Ltd (Pkgd),2017-03,1000.0,8545,vic
39906,Bolte Civil Pty Ltd,PAC23-1330,PAC 23 SOLUTION - 1330KG,2017-03,1.0,BOX,N118,39906,Bolte Civil Pty Ltd,2017-03,1000.0,39906,nsw
41367,Isaac Regional Council,PAC23-1330NR,PAC 23 SOLUTION - 1330KG IBC NR,2017-03,16.0,BOX,Q336,56163,Moranbah WTP,2017-03,16000.0,41367,qld
50268,Cook Shire Council,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-07,2.0,BOX,Q336,50268,Cook Shire Council,2017-06,2000.0,50268,qld
51973,Hardman Chemicals Equity P/L,MHL-1500SC,"Magnesium Hydroxide Liquid, 1500kg box",2017-06,1.0,BOX,V114,51973,Hardman Chemicals Equity P/L,2017-06,1000.0,51973,nsw
62081,M.G. Roberts Plumbing Pty. Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-06,2.0,TO,T101,62081,M.G. Roberts Plumbing Pty. Limited,2017-06,1526.7175572519084,62081,tas
62007,PRI Farming Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2017-06,2000.0,L,D106,60980,Janamba Crocodile Farm,2017-06,2000.0,62007,nt
62042,Darwin Crocodile Farm,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2017-06,2000.0,L,D106,60692,Croc Farm,2017-06,2000.0,62042,nt
60907,Snowy Monaro Regional Council - Coo,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-07,1000.0,L,N106,5906,Nimmitabel Water Treatment Plant,2017-06,1000.0,60907,nsw
60150,Sunset Power International Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-07,10000.0,L,N106,8897,Vales Point Power Station,2017-06,10000.0,60150,nsw
61318,Northern Beaches Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-07,3000.0,L,N106,62184,Manly MC Swimming Centre,2017-07,3000.0,61318,nsw
62063,Clearchem,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2017-07,10500.0,L,W205,57927,Clearchem Pty Ltd,2017-07,10500.0,62063,wa
62156,Solugistics,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-07,3000.0,L,N106,6414,Williamtown RAAF Sewerage,2017-07,3000.0,62156,nsw
62167,Courtcare,SODHYP13-15,SODIUM HYPOCHLORITE 13%- 15L,2017-07,48.0,PLY,V305,62167,Courtcare,2017-07,720.0,62167,vic
62148,Solugistics,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-07,3000.0,L,N106,6414,Williamtown RAAF Sewerage,2017-07,3000.0,62148,vic
62217,Bayside Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,,2000.0,L,N106,52834,Botany Aquatic Centre,2017-07,2000.0,62217,nsw
62379,Kings Macgregor,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-08,1000.0,L,N106,62371,Kings Macgregor Pty Ltd,2017-08,1000.0,,
62035,Port of Brisbane,MHL-B,Magnesium Hydroxide Liquid,2017-09,23.5,TO,Q329,62321,PoB - Luggage Point,2017-08,15666.666666666666,62035,qld
62137,Suez Water Technologies & Solutions,SODHYP13-15NR,SODIUM HYPOCHLORITE 13%- 15L Non Ret,2017-09,2.0,PLY,S303,62354,Ron Goodin Power Station,2017-08,30.0,62137,qld
11764,Hempel (Wattyl) Australia Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2017-10,2.0,BOX,V305,57184,Valspar Paint (SA) Pty Ltd,2017-09,2000.0,11764,vic
62356,Bendigo East Swimming Club Inc,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-09,1000.0,L,V218,62356,Bendigo East Swimming Club Inc,2017-09,1000.0,62356,vic
62484,Lifeguarding Services Australia,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-10,3000.0,L,N106,57336,Merriwa Swimming Pool,2017-09,3000.0,62484,nsw
62019,Industrial Cleansers Pty. Ltd.,PAC23-1330NR,PAC 23 SOLUTION - 1330KG IBC NR,2017-11,5.0,IBC,Q336,62019,Industrial Cleansers Pty. Ltd.,2017-10,5000.0,62019,qld
3046,North East Region Water Authority,PAC23-1330,PAC 23 SOLUTION - 1330KG,2017-10,8.0,BOX,V305,3051,Beechworth WTP & Yackandandah,2017-10,8000.0,3046,vic
5823,Bega Valley Shire Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2017-10,6.55,TO,N214,35520,Tathra STP,2017-10,5000.0,5823,nsw
62637,Factor UTB Pty Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-11,1.0,BOX,W300,62640,Acacia Prison,2017-11,1000.0,62637,sa
62685,Programmed Facility Management (PRA,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-11,10.0,BOX,W300,33699,MANDURAH DEPOT-W Corp,2017-11,10000.0,62685,wa
62626,C.A.T Manufacturing Pty Ltd,SODHYP13-1000BB,SODIUM HYPOCHLORITE 13% - 1000L IBC,2017-11,2.0,BOX,V218,62626,C.A.T Manufacturing Pty Ltd,2017-11,2000.0,62626,vic
9824,Accolade Wines Australia Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2017-11,2.0,BOX,V114,25492,Berri Estate (Hardy Wine Co),2017-11,2000.0,9824,sa
62691,SUEZ Water & Treatment Solutions Pt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-12,22000.0,L,N106,57085,Kooragang Recycled Water Scheme,2017-11,22000.0,62691,nsw
61968,Earthpower Technologies Sydney P/L,PAC23-1330,PAC 23 SOLUTION - 1330KG,2017-12,1.0,BOX,N118,61966,EarthPower Technologies Sydney P/L,2017-12,1000.0,61968,nsw
62320,Farm Pride Foods Ltd,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2017-12,1.0,BOX,N222,62368,Greendale Farm 1221,2017-12,1000.0,62320,vic
62806,Nyah & District Community Pool Comm,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-01,1000.0,L,V218,11536,Nyah Pool,2018-01,1000.0,62806,vic
62771,City of Charles Sturt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-01,1000.0,L,S106,62799,St Clair WTP,2018-01,1000.0,62771,sa
35200,Ixom Operations Pty Ltd (Tasmania),SODHYP13-15,SODIUM HYPOCHLORITE 13%- 15L,2018-02,24.0,PLY,V305,35200,Ixom Operations Pty Ltd (Tasmania),2018-01,360.0,35200,tas
62898,Fremantle College,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2018-02,2000.0,L,W205,62898,Fremantle College,2018-02,2000.0,62898,wa
62889,Light Regional Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-02,800.0,L,S106,62891,Kapunda Swimming Pool,2018-02,800.0,62889,sa
62421,Suez Water Technologies & Solutions,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2018-02,1.0,BOX,V218,62548,Moolarben Coal,2018-02,1000.0,62421,qld
62834,Adventure Park Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-02,2000.0,L,V218,62834,Adventure Park Pty Ltd,2018-02,2000.0,62834,vic
8438,USG Boral Building Products Pty Lim,ALUSUL08-1000NR,Liquid Alum Non Returnable IBC (1310 KG),2018-03,6.55,TO,V305,8438,USG Boral Building Products Pty Lim,2018-03,5000.0,8438,vic
62944,Mid-Coast Council,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-04,1.0,BOX,V114,62944,Mid-Coast Council,2018-03,1000.0,62944,nsw
63061,DGL Manufacturing Pty Ltd,MHL-B,Magnesium Hydroxide Liquid,2018-04,21.0,TO,V114,63061,DGL Manufacturing Pty Ltd,2018-04,14000.0,63061,nsw
63058,The YMCA of the Northern Territory,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2018-04,1500.0,L,D106,63121,Palmerston Leisure Centre,2018-04,1500.0,63058,nt
4528,Halliburton Australia Pty Ltd,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2018-05,2.0,BOX,D106,62927,MC Mintech Darwin - Blend,2018-05,2000.0,4528,wa
63051,Newcastle Equine Pool,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-05,2000.0,L,N106,23072,Newcastle Equine Swim Centre,2018-05,2000.0,63051,nsw
63184,Saputo Dairy Australia Pty Ltd,MHL-1500IBC,"Magnesium Hydroxide Liquid, 1500kg box",2018-06,2.0,BOX,V114,63192,Main Tank - Leongatha,2018-05,2000.0,63184,vic
6064,Leeton Shire Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2018-06,25.0,TO,V127,63236,Leeton Sewer Treatment Plant,2018-06,19083.969465648854,6064,nsw
