Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
9373,Adchem (Australia) Pty Ltd,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2017-02,2.0,BOX,S106,9374,Springbetts  C\ Adchem,2017-02,2000.0,9373,sa
61267,Inner West Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-03,3000.0,L,N106,52254,Ashfield Aquatic Centre,2017-03,3000.0,61267,nsw
61695,HD Enterprises Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2017-03,1300.0,L,D106,50772,Leanyer Lake Recreation Park,2017-03,1300.0,61695,nt
62007,PRI Farming Pty Ltd,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2017-06,2000.0,L,D106,60980,Janamba Crocodile Farm,2017-06,2000.0,62007,nt
62042,Darwin Crocodile Farm,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2017-06,2000.0,L,D106,60692,Croc Farm,2017-06,2000.0,62042,nt
60150,Sunset Power International Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-07,10000.0,L,N106,8897,Vales Point Power Station,2017-06,10000.0,60150,nsw
60907,Snowy Monaro Regional Council - Coo,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-07,1000.0,L,N106,5906,Nimmitabel Water Treatment Plant,2017-06,1000.0,60907,nsw
31077,Burra Foods Pty Ltd,SODHYP13-1000BB,SODIUM HYPOCHLORITE 13% - 1000L IBC,2017-06,1.0,BOX,V218,31077,Burra Foods Pty Ltd,2017-06,1000.0,31077,vic
61318,Northern Beaches Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-08,2789.0,L,N106,62184,Manly MC Swimming Centre,2017-07,2789.0,61318,nsw
62063,Clearchem,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2017-08,10500.0,L,W205,57927,Clearchem Pty Ltd,2017-07,10500.0,62063,wa
62217,Bayside Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,,2000.0,L,N106,52834,Botany Aquatic Centre,2017-07,2000.0,62217,nsw
62156,Solugistics,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-07,3000.0,L,N106,6414,Williamtown RAAF Sewerage,2017-07,3000.0,62156,nsw
62148,Solugistics,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-07,3000.0,L,N106,6414,Williamtown RAAF Sewerage,2017-07,3000.0,62148,vic
62167,Courtcare,SODHYP13-15,SODIUM HYPOCHLORITE 13%- 15L,2017-07,48.0,PLY,V305,62167,Courtcare,2017-07,720.0,62167,vic
62137,Suez Water Technologies & Solutions,SODHYP13-15NR,SODIUM HYPOCHLORITE 13%- 15L Non Ret,2017-09,2.0,PLY,S303,62354,Ron Goodin Power Station,2017-08,30.0,62137,qld
62379,Kings Macgregor,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-08,1000.0,L,N106,62371,Kings Macgregor Pty Ltd,2017-08,1000.0,,
62356,Bendigo East Swimming Club Inc,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-09,1000.0,L,V218,62356,Bendigo East Swimming Club Inc,2017-09,1000.0,62356,vic
62484,Lifeguarding Services Australia,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-10,3000.0,L,N106,57336,Merriwa Swimming Pool,2017-09,3000.0,62484,nsw
62626,C.A.T Manufacturing Pty Ltd,SODHYP13-1000BB,SODIUM HYPOCHLORITE 13% - 1000L IBC,2017-11,2.0,BOX,V218,62626,C.A.T Manufacturing Pty Ltd,2017-11,2000.0,62626,vic
62691,SUEZ Water & Treatment Solutions Pt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2017-12,22000.0,L,N106,57085,Kooragang Recycled Water Scheme,2017-11,22000.0,62691,nsw
62320,Farm Pride Foods Ltd,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2017-12,1.0,BOX,N222,62368,Greendale Farm 1221,2017-12,1000.0,62320,vic
748,Ixom Operations Pty Ltd (NZ Branch),SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2018-02,72.0,BOX,V218,50724,Ixom Operations Pty Ltd (NZ) Tauran,2018-01,72000.0,,
35200,Ixom Operations Pty Ltd (Tasmania),SODHYP13-15,SODIUM HYPOCHLORITE 13%- 15L,2018-02,24.0,PLY,V305,35200,Ixom Operations Pty Ltd (Tasmania),2018-01,360.0,35200,tas
62806,Nyah & District Community Pool Comm,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-01,1000.0,L,V218,11536,Nyah Pool,2018-01,1000.0,62806,vic
62771,City of Charles Sturt,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-01,1000.0,L,S106,62799,St Clair WTP,2018-01,1000.0,62771,sa
62898,Fremantle College,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2018-02,2000.0,L,W205,62898,Fremantle College,2018-02,2000.0,62898,wa
62889,Light Regional Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-02,800.0,L,S106,62891,Kapunda Swimming Pool,2018-02,800.0,62889,sa
62834,Adventure Park Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-02,2000.0,L,V218,62834,Adventure Park Pty Ltd,2018-02,2000.0,62834,vic
62421,Suez Water Technologies & Solutions,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2018-02,1.0,BOX,V218,62548,Moolarben Coal,2018-02,1000.0,62421,qld
63058,The YMCA of the Northern Territory,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2018-04,1500.0,L,D106,63121,Palmerston Leisure Centre,2018-04,1500.0,63058,nt
4528,Halliburton Australia Pty Ltd,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2018-05,2.0,BOX,D106,62927,MC Mintech Darwin - Blend,2018-05,2000.0,4528,wa
63051,Newcastle Equine Pool,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-05,2000.0,L,N106,23072,Newcastle Equine Swim Centre,2018-05,2000.0,63051,nsw
63364,Riverina Multiclean Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-07,22000.0,L,N106,63364,Riverina Multiclean Pty Ltd,2018-07,22000.0,63364,nsw
63449,FLOW SYSTEMS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-08,4493.0,L,N106,63484,Flow System - Huntlee,2018-08,4493.0,63449,nsw
63540,Price Chemicals,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-09,5000.0,L,N106,56118,OWN CARTAGE - PRICE CHEMICALS,2018-09,5000.0,63540,nsw
63599,Sydney Sports Management Group,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-09,1000.0,L,N106,63599,Sydney Sports Management Group,2018-09,1000.0,63599,nsw
2807,Lockhart Shire Council,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-10,2000.0,L,V218,63727,Lockhart Swimming Pool,2018-10,2000.0,2807,nsw
63616,The Trustee for Paul Sadler Swimlan,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-10,1000.0,L,V218,63655,Paul Sadler Swimland Bendigo,2018-10,1000.0,63616,vic
63686,VIVA LEISURE OPERATIONS PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-11,1000.0,L,N106,53936,Canberra Int. Sports and Aquatic Ce,2018-11,1000.0,,
63892,White Hills Pool Committee,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-12,2000.0,L,V218,63892,White Hills Pool Committee,2018-11,2000.0,63892,vic
62775,Tarago Operations Pty Ltd,SODHYP13-15,SODIUM HYPOCHLORITE 13%- 15L,2019-01,240.0,L,V305,62780,Woodlawn Mine,2018-12,240.0,62775,nsw
61804,Hydroflux Utilities Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2018-12,1.0,L,V116,61804,Hydroflux Utilities Pty Ltd,2018-12,1.0,61804,nsw
63979,Riverstone Swimming Centre,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,,1500.0,L,N106,7139,Riverstone Pool,2019-01,1500.0,63979,nsw
64063,METROPOLITAN COLLIERIES PTY. LTD.,SODHYP13-1000BB,SODIUM HYPOCHLORITE 13% - 1000L IBC,2019-02,1.0,BOX,3RDN,64071,Metropolitan Collieries UG,2019-01,1000.0,64063,qld
63972,Blacktown Aquatic,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2019-01,2000.0,L,N106,7141,Blacktown Aquatic,2019-01,2000.0,63972,nsw
63978,Charlie Lowles Leisure Centre,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2019-01,2500.0,L,N106,62765,Charlie Lowles - Indoor Pool,2019-01,2500.0,63978,nsw
63971,Blacktown Leisure Centre - Stanhope,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2019-01,3000.0,L,N106,28082,Blacktown - Stanhope,2019-01,3000.0,63971,nsw
21603,Incitec Pivot Ltd,SODHYP13-15,SODIUM HYPOCHLORITE 13%- 15L,2019-02,75.0,L,V305,59743,Incitec Pivot/Gibson Island,2019-02,75.0,21603,vic
9529,McArthur River Mining Pty Ltd,SODHYP12-1000SNR,Sodium Hypochlorite 12.5% non returnable,2019-02,10.0,BOX,D106,64107,Mount Isa Mines - IDC Receiving,2019-02,10000.0,9529,nt
64090,VENDOR LINK PTY LTD,SODHYP12-1000SNR,Sodium Hypochlorite 12.5% non returnable,2019-02,10.0,BOX,D106,64096,McArthur River Mining,2019-02,10000.0,64090,qld
64156,ALL ABOUT WASTEWATER PTY LTD,SODHYP13-15,SODIUM HYPOCHLORITE 13%- 15L,2019-03,6.0,PLY,V305,64168,All About Waste Water,2019-02,90.0,64156,qld
64200,FL Pools Pty Ltd t/as,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2019-03,2000.0,L,D106,64200,FL Pools Pty Ltd t/as,2019-03,2000.0,64200,nt
64239,Splashs Swim School,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2019-04,1000.0,L,V116,64239,Splashs Swim School,2019-04,1000.0,64239,vic
19860,Ameropa Australia Pty Ltd,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2019-04,1.0,BOX,V218,19860,Ameropa Australia Pty Ltd,2019-04,1000.0,19860,tas
64495,ZYCHEM TECHNOLOGIES PTY LTD,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2019-05,500.0,L,T300,64507,Aquatiq Australia,2019-05,500.0,64495,qld
64553,Mingara Recreation Club Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2019-06,2000.0,L,N106,64550,Mingara Aquatics,2019-06,2000.0,64553,nsw
11572,Port Arthur Historical Site,SODHYP13-200,SODIUM HYPOCHLORITE 13% - 200l,2019-07,1.0,DRM,V305,11573,Wades Tpt Port Ar. Works Depot,2019-07,200.0,11572,tas
64704,Jalco Powders Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2019-07,22000.0,L,N106,64704,Jalco Powders Pty Ltd,2019-07,22000.0,64704,nsw
64718,STATE SPORT CENTRES TRUST,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2019-08,5000.0,L,V116,64777,State Sports Centre Trust (MSAC),2019-07,5000.0,64718,vic
64687,LAGOON CROCODILE FARM PTY. LIMITED,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2019-08,1000.0,L,D106,39063,Lagoon Crocodile Farm,2019-08,1000.0,64687,nt
64793,The YMCA of the NorthernTerritory,SODHYP12-B,Sodium Hypochlorite 12.5% (bulk),2019-08,1500.0,L,D106,20568,YMCA of Palmerston,2019-08,1500.0,64793,nt
62290,Pascom Commercial Pty Ltd,SODHYP12-1000SNR,Sodium Hypochlorite 12.5% non returnable,2019-09,5.0,BOX,W205,62290,Pascom Commercial Pty Ltd,2019-09,5000.0,62290,wa
63980,Mt Druitt Swimming Centre,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2019-10,3000.0,L,N106,7140,Mt Druitt Pool,2019-09,3000.0,63980,nsw
64801,Leed Valoriza Joint Venture,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2019-11,20000.0,L,S106,64953,NAIS Bolivar,2019-09,20000.0,64801,sa
8342,Ecolab Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2019-09,16000.0,L,V116,8342,Ecolab Pty Ltd,2019-09,16000.0,8342,vic
9264,Devro Pty Ltd,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2019-11,1.0,BOX,Q336,9264,Devro Pty Ltd,2019-10,1000.0,9264,nsw
64854,Optimal Stormwater Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2019-10,500.0,L,N106,52559,Randwick City Council Works Depot,2019-10,500.0,64854,nsw
64991,Hy-clor (Australia) Pty Ltd,SODHYP13-B,SODIUM HYPOCHLORITE 13% - BULK,2019-11,22000.0,L,N106,65016,HyClor – Raging Waters,2019-10,22000.0,64991,nsw
56197,Nutrien Ag Solutions Limited - Pert,SODHYP-1000SNR,Sodium Hypochlorite 13% 1000L Non-Return,2019-11,1.0,BOX,V218,65204,Nutrien AG Mudgee Retail Store,2019-11,1000.0,56197,wa
7041,Whiteley Corporation Pty Ltd,SODHYP13-200,SODIUM HYPOCHLORITE 13% - 200l,2019-11,200.0,L,V305,7041,Whiteley Corporation Pty Ltd,2019-11,200.0,7041,nsw
65185,Nambucca Shire Council,SODHYP13-15,SODIUM HYPOCHLORITE 13%- 15L,2019-12,48.0,DRM,V305,65185,Nambucca Shire Council,2019-12,9600.0,65185,nsw
