Sold-To Party,Name 1,Material,Description,Delivery Date,Confirmed Quantity,Sales Unit,Plant,Ship-To Party,Ship-to party name 1,Document Date,Quantity in L,SH_Customer No,state
63449,FLOW SYSTEMS PTY LTD,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2018-08,4.5,TO,N214,63484,Flow System - Huntlee,2018-08,3435.114503816794,63449,nsw
55690,Tasmania Mines Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1310 kgs IBC,2018-09,1.31,TO,T101,55690,Tasmania Mines Limited,2018-09,1000.0,55690,tas
7787,Trility Pty Ltd,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2018-10,4.0,TO,V127,41145,Halls Gap WTP,2018-10,3053.4351145038167,7787,sa
53567,CORE Water Management Solutions,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-05,1.0,BOX,Q336,64476,Teys Australia (Beenleigh) Pty Ltd,2019-05,1000.0,53567,qld
8913,Nowra Chemical Manufacturers Pty Lt,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-06,26.0,TO,V127,58727,OWN CARTAGE Nowra Chemicals,2019-05,19847.32824427481,8913,nsw
6857,Parkes Shire Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-05,23.2,TO,V127,63803,Parkes STP,2019-05,17709.923664122136,6857,nsw
56283,Aquapac Pty Ltd,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-06,2.121,TO,Q322,56135,OWN CARTAGE - Aquapac,2019-06,1619.0839694656488,56283,nsw
9044,CSR Building Products Ltd*,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2019-10,1.31,TO,N214,54352,CSR Building Products Limited,2019-09,1000.0,9044,nsw
64801,Leed Valoriza Joint Venture,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2019-09,25.0,TO,S106,64953,NAIS Bolivar,2019-09,19083.969465648854,64801,sa
61506,Rapid Supply Pty Ltd,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-03,1.0,BOX,T101,61506,Rapid Supply Pty Ltd,2020-03,1000.0,61506,tas
10267,Logan City Council,ALUSUL08-B,Alum Liquid Sulfate 8% Tonne,2020-06,24.124,TO,Q339,65749,Logan Council - Cedar Grove STP,2020-05,18415.267175572517,10267,qld
54176,Ledonne Constructions Pty Limited,ALUSUL08-1000,ALUMINIUM SULFATE LIQUID 1000L (1310 kg),2020-07,2.0,IBC,Q336,65902,Cairncross Waste Facility,2020-07,2000.0,54176,nsw
